,ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Prevalence_of_undernourishment,GNI,Population,Govt_Expenditure
45,BGD,Bangladesh,50.0,2016,71.09,6.113890171,108.2819,2292.19,13.3,233005.801598,159784.568,
46,BGD,Bangladesh,50.0,2017,71.7879,6.270249844,116.000498,2009.6,12.5,256188.386331,161793.964,
47,BGD,Bangladesh,50.0,2018,72.5675,6.385879993,122.142365,3590.06,11.5,281923.406836,163683.958,
48,BGD,Bangladesh,50.0,2019,72.8057,6.549980164,129.304981,2846.37,11.0,314503.412217,165516.222,
49,BGD,Bangladesh,50.0,2020,71.9678,7.379059792,136.211324,2551.98,11.4,345278.443355,167420.951,
50,BRB,Barbados,52.0,2016,76.8149,9.734617347,114.376464,462.836987,4.4,4607.915325,278.649,
51,BRB,Barbados,52.0,2017,76.936,9.77397843,121.945129,233.809541,4.3,4761.860196,279.187,
52,BRB,Barbados,52.0,2018,77.067,9.813339513,120.550901,232.392,4.1,4890.854334,279.688,
53,BRB,Barbados,52.0,2019,77.2569,9.852700596,135.506459,187.541323,3.7,5115.969283,280.18,
54,BRB,Barbados,52.0,2020,77.3929,9.852700596,140.72365,254.6,3.4,4248.282818,280.693,
55,BLR,Belarus,112.0,2016,74.258,11.85758429,115.694397,1124.0,1.5,45473.140372,9708.11,19309.27331
56,BLR,Belarus,112.0,2017,74.4519,11.95291634,120.59984,1208.5,1.5,52669.797353,9707.876,22651.62897
57,BLR,Belarus,112.0,2018,74.5676,12.04824839,127.57051,1371.3,1.5,57861.17826,9695.574,24354.0952
58,BLR,Belarus,112.0,2019,74.216,12.14358044,133.005014,1277.1,1.5,62499.821046,9673.971,26216.53468
59,BLR,Belarus,112.0,2020,72.5132,12.14358044,141.238025,1314.6,1.5,57750.975887,9633.74,
60,BEL,Belgium,56.0,2016,81.2661,11.98532009,102.1507,22868.65467,1.5,480302.796402,11316.836,252702.1515
61,BEL,Belgium,56.0,2017,81.3618,12.23692989,104.2831,-30406.34426,1.5,507373.706788,11384.489,261558.0726
62,BEL,Belgium,56.0,2018,81.4787,12.30630493,105.8205,-8677.660575,1.5,548082.28705,11448.595,283612.4567
63,BEL,Belgium,56.0,2019,81.8311,12.37567997,106.2867,1305.307654,1.5,540431.91698,11510.568,277492.539
64,BEL,Belgium,56.0,2020,80.7884,12.37567997,108.0026,-1789.822114,1.5,527384.952969,11561.717,
65,BLZ,Belize,84.0,2016,73.3988,9.503048134,99.201553,42.2685,7.2,1685.65678,367.313,
66,BLZ,Belize,84.0,2017,73.5624,9.339186096,99.340829,24.172,7.0,1720.624406,374.693,
67,BLZ,Belize,84.0,2018,73.7031,9.175324059,98.723919,117.557047,6.7,1708.56041,382.066,
68,BLZ,Belize,84.0,2019,73.9313,9.011462021,99.546054,91.791742,6.8,1789.926033,389.095,
69,BLZ,Belize,84.0,2020,72.854,8.847599983,102.805625,71.753426,7.4,1443.06656,394.921,
70,BEN,Benin,204.0,2016,59.5394,3.863223294,98.81456,114.409647,7.6,11718.306954,11260.085,
71,BEN,Benin,204.0,2017,59.8558,4.010411011,100.826915,168.995331,7.9,12561.417748,11596.779,
72,BEN,Benin,204.0,2018,60.1403,4.157598728,101.594,184.303164,8.1,14117.27289,11940.683,
73,BEN,Benin,204.0,2019,60.4537,4.304786445,96.63285,191.058358,7.7,14248.20188,12290.444,
74,BEN,Benin,204.0,2020,60.088,4.304786445,100.80699,151.767219,7.4,15039.70789,12643.123,
75,BOL,Bolivia (Plurinational State of),68.0,2016,67.6277,9.162832737,108.111846,246.49949,13.1,33140.095874,11263.015,
76,BOL,Bolivia (Plurinational State of),68.0,2017,67.7015,9.396595001,110.954091,632.781025,12.5,36623.484751,11435.533,
77,BOL,Bolivia (Plurinational State of),68.0,2018,67.748,9.630357265,113.008593,386.834085,12.1,39336.866531,11606.905,
78,BOL,Bolivia (Plurinational State of),68.0,2019,67.841,9.86411953,115.232584,-264.951156,11.9,39930.200424,11777.315,
79,BOL,Bolivia (Plurinational State of),68.0,2020,64.4667,9.827750206,114.329014,-946.246411,13.9,35709.65405,11936.162,
80,BIH,Bosnia and Herzegovina,70.0,2016,76.8083,9.692919731,97.8111,311.141147,1.5,16936.146244,3480.986,7011.061913
81,BIH,Bosnia and Herzegovina,70.0,2017,76.9349,9.752649784,99.5009,413.371027,1.5,17929.055525,3440.027,7239.606305
82,BIH,Bosnia and Herzegovina,70.0,2018,77.0926,9.812379837,99.6182,598.51228,1.5,20063.590298,3400.129,
83,BIH,Bosnia and Herzegovina,70.0,2019,77.2412,10.17434978,101.0793,396.82428,1.5,20190.04381,3360.711,
84,BIH,Bosnia and Herzegovina,70.0,2020,76.2254,10.53631973,101.7047,375.874698,1.5,19788.960766,3318.407,
85,BWA,Botswana,72.0,2016,65.4644,10.1,104.29427,312.216268,20.1,14355.899082,2352.416,4991.320855
86,BWA,Botswana,72.0,2017,66.7526,10.18,105.430148,259.709235,21.3,16039.054149,2401.84,5438.539773
87,BWA,Botswana,72.0,2018,65.4224,10.26,105.225589,368.033857,21.5,17081.149402,2451.409,5724.812071
88,BWA,Botswana,72.0,2019,65.4636,10.34,108.382356,73.812243,22.1,16968.841229,2499.702,5796.893167
89,BWA,Botswana,72.0,2020,65.6471,10.34,112.275703,63.132069,21.9,14583.968482,2546.402,5708.690676
90,BRA,Brazil,76.0,2016,74.4415,7.731040001,114.3018,59601.13601,1.5,1757596.906022,206859.578,872233.2217
91,BRA,Brazil,76.0,2017,74.8266,7.851759911,112.1666,47544.55963,1.5,2024937.157759,208504.96,993512.6019
92,BRA,Brazil,76.0,2018,75.1095,7.982019901,116.6876,76138.00314,1.5,1863630.803639,210166.592,908668.4744
93,BRA,Brazil,76.0,2019,75.3379,8.128813955,124.141857,46354.54687,2.6,1835497.020942,211782.878,878170.7741
94,BRA,Brazil,76.0,2020,74.0089,8.128813955,141.626625,50586.15178,4.1,1417068.693059,213196.304,720955.3206
