ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Unemployment,Infant_Mortality_Rate,Access_To_Electricity,Prevalence_of_undernourishment
CMR,Cameroon,120.0,2017,60.8103,6.039564753,101.965277,792.137,3.599999905,80.6,61.03086472,6.6
COD,Democratic Republic of the Congo,180.0,2017,59.4114,6.889088258,116.044473,1047.979483,4.465000153,89.6,17.91650963,36.4
COG,Congo,178.0,2017,63.76,6.138,98.72583,4372.020131,20.55900002,49.1,46.57394791,28.3
COL,Colombia,170.0,2017,76.6456,8.362985134,113.0231,10147.13215,8.869999886,14.6,98.5,5.9
CPV,Cabo Verde,132.0,2017,76.5928,6.076351994,99.32918,119.679897,12.23999977,16.8,88.69096375,16.2
CRI,Costa Rica,188.0,2017,79.3769,8.643780231,103.0246,2652.093384,8.140000343,8.7,99.59999847,3.2
CYP,Cyprus,196.0,2017,81.328,12.18473005,96.47,744.238096,11.05000019,2.8,100.0,1.5
CZE,Czechia,203.0,2017,78.9557,12.78682041,106.4,1961.671529,2.890000105,3.2,100.0,1.5
DEU,Germany,276.0,2017,80.9442,14.10476494,105.0,-37876.10849,3.75,3.9,100.0,1.5
DJI,Djibouti,262.0,2017,62.7966,4.07,106.936486,204.8675045481483,26.05999947,61.8,60.20000076,13.5
DMA,Dominica,212.0,2017,67.5253,8.059343959,100.692414,-2.152963,7.805133339626667,33.5,100.0,5.7
DNK,Denmark,208.0,2017,81.1112,13.011765,102.9,-5769.44338,5.829999924,4.0,100.0,1.5
DOM,Dominican Republic,214.0,2017,73.0629,8.936204255,108.375097,204.8675045481483,5.829999924,34.9,100.0,6.2
DZA,Algeria,12.0,2017,75.7428,7.940606186,111.015653,1260.947166,10.33300018,24.3,99.63549042,2.7
ECU,Ecuador,218.0,2017,76.9725,8.765919685,101.812931,204.8675045481483,3.839999914,14.4,99.19999695,10.7
EGY,Egypt,818.0,2017,71.3019,9.04570961,168.258855,7209.7,11.73999977,21.7,100.0,4.9
ESP,Spain,724.0,2017,83.0295,10.07671499,103.4037,-14079.14506,17.21999931,3.3,100.0,1.5
EST,Estonia,233.0,2017,77.976,13.55548,107.2426,1061.397564,5.760000229,2.6,100.0,1.5
ETH,Ethiopia,231.0,2017,64.8383,2.854597012,123.818599,204.8675045481483,2.299000025,55.9,44.29999924,15.7
FIN,Finland,246.0,2017,81.4976,12.73937988,99.19,3438.00793,8.640000343,2.4,100.0,1.5
FJI,Fiji,242.0,2017,67.7904,10.63035965,101.181806,387.830933,4.277999878,25.5,96.0,6.2
FRA,France,250.0,2017,82.4732,11.40970039,102.18,-11152.15599,9.409999847,4.3,100.0,1.5
GAB,Gabon,266.0,2017,66.1889,9.208,97.952898,1397.73833,20.72100067,45.5,86.26999664,16.1
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,2017,81.1684,13.16133022,101.9,-46019.20255,4.329999924,4.4,100.0,1.5
GEO,Georgia,268.0,2017,73.5701,12.87436008,111.227323,1708.854069,13.93999958,9.9,100.0,8.1
GHA,Ghana,288.0,2017,64.0131,8.056260907,118.456337,3239.1,4.21999979,50.1,79.0,7.1
GMB,Gambia,270.0,2017,62.9955,4.180482013,120.875693,16.083258,9.484999657,55.1,56.20000076,12.2
GRC,Greece,300.0,2017,80.8501,10.54285765,99.73506,3316.475273,21.48999977,4.3,100.0,1.5
GTM,Guatemala,320.0,2017,72.5506,5.74357605,126.804669,934.06642,2.460000038,26.4,93.30000305,16.3
HKG,"China, Hong Kong SAR",344.0,2017,84.8988,12.16905022,106.43787,23980.62426,3.130000114,27.986092715231784,100.0,1.5
HND,Honduras,340.0,2017,72.6918,6.408294916,105.602798,1035.0,5.53000021,18.0,86.5,13.2
HRV,Croatia,191.0,2017,78.0832,11.92040895,101.7,1264.379074,11.21000004,4.8,100.0,1.5
HTI,Haiti,332.0,2017,63.8538,5.402,131.81249,204.8675045481483,13.87699986,66.0,43.74927139,44.6
HUN,Hungary,348.0,2017,76.0055,11.97945499,103.8145,2294.897675,4.159999847,4.4,100.0,1.5
IDN,Indonesia,360.0,2017,69.9356,8.069094896,111.228529,18502.04,3.880000114,25.6,98.13999939,5.9
IND,India,356.0,2017,70.4672,6.452129304,110.111437,28763.29224,5.357999802,38.6,92.12494659,13.2
IRL,Ireland,372.0,2017,81.9168,11.4341898,95.60786,54883.02211,6.710000038,3.4,100.0,1.5
IRN,Iran (Islamic Republic of),364.0,2017,75.9712,10.42034294,125.558481,4943.251556,12.22999954,14.4,99.94000244,5.2
IRQ,Iraq,368.0,2017,70.4126,7.860422708,97.776646,-5110.2,13.02000046,27.9,99.87207031,18.8
ISL,Iceland,352.0,2017,82.5352,13.4558567,99.66061,166.838935,2.74000001,2.1,100.0,1.5
