,Area Code (M49),Area,Unit,Total FDI inflows 2016,Total FDI inflows 2017,Total FDI inflows 2018,Total FDI inflows 2019,Total FDI inflows 2020,Total FDI outflows 2016,Total FDI outflows 2017,Total FDI outflows 2018,Total FDI outflows 2019,Total FDI outflows 2020,Net FDI 2016,Net FDI 2017,Net FDI 2018,Net FDI 2019,Net FDI 2020
0,4,Afghanistan,millions,93.59,53.39,119.44,38.533333,12.970492,14.78,10.8,40.53,25.946667,37.112627,78.81,42.59,78.91,12.586665999999997,-24.142135000000003
1,8,Albania,millions,1100.671891,1148.891224,1289.690235,1287.978184,1106.560092,64.200483,26.197174,82.56079,127.855221,89.433996,1036.4714079999999,1122.69405,1207.129445,1160.122963,1017.126096
2,12,Algeria,millions,1636.299236,1232.341924,1466.084654,1381.811818,1125.414826,46.202384,-28.605242,845.268059,30.989854,15.518489,1590.0968520000001,1260.9471660000002,620.816595,1350.821964,1109.896337
3,24,Angola,millions,-179.517619,-7397.295409,-6456.076413,-4098.478748,-1866.468113,273.005,1352.005057,5.714168,-2349.425835,90.514469,-452.52261899999996,-8749.300466,-6461.790581,-1749.0529130000004,-1956.9825819999999
4,660,Anguilla,millions,60.253704,53.534815,55.784444,125.088889,26.304077,-1.646667,-0.57963,-0.556296,-0.927531,-0.902742,61.900371,54.114445,56.340740000000004,126.01642,27.206819
5,28,Antigua and Barbuda,millions,80.641481,112.936667,116.493704,139.466667,22.367073,11.998148,13.266296,8.563704,11.276049,9.818515,68.643333,99.670371,107.92999999999999,128.190618,12.548558000000002
6,32,Argentina,millions,3260.164342,11516.861462,11872.856663,6663.062112,4122.734958,1786.530935,1155.630218,1802.220667,1539.216163,1234.012059,1473.633407,10361.231244,10070.635996,5123.845949,2888.7228990000003
7,51,Armenia,millions,333.733314,250.93511,254.146164,254.077252,117.296453,70.519382,29.056824,7.012506,-142.555366,-27.278869,263.213932,221.878286,247.133658,396.632618,144.575322
8,533,Aruba,millions,27.541899,87.862279,110.17565,-133.317939,113.710125,-0.391061,8.579362,4.624964,1.666465,-10.041281,27.93296,79.282917,105.550686,-134.98440399999998,123.751406
9,36,Australia,millions,48401.364843,45225.175511,68477.419509,39224.000995,20146.102946,2304.472908,6355.958184,7799.541546,9265.856892,9171.521281,46096.891935,38869.217327,60677.877963,29958.144103000002,10974.581665
10,40,Austria,millions,-8508.306429,14953.062086,5287.327675,967.544649,-17339.686992,-2033.498539,10251.113582,5611.767314,10894.372318,-3213.226951,-6474.80789,4701.948504,-324.43963899999926,-9926.827669,-14126.460040999998
11,31,Azerbaijan,millions,4500.0,2867.0,1403.0,1503.9,507.1,2574.0,2564.0,1761.0,2431.7,825.3,1926.0,303.0,-358.0,-927.7999999999997,-318.19999999999993
12,44,Bahamas,millions,1259.5,901.448,947.43,610.957174,896.78392,358.587408,151.066,117.328,148.391,156.738049,900.912592,750.382,830.102,462.56617400000005,740.045871
13,48,Bahrain,millions,243.351064,1426.06383,1654.255319,1501.329787,1006.648936,-880.053191,228.989361,111.170213,-197.074468,-205.053191,1123.404255,1197.0744690000001,1543.085106,1698.404255,1211.702127
14,50,Bangladesh,millions,2332.72,2151.56,3613.3,2873.95,2563.58,40.53,141.96,23.24,27.58,11.6,2292.1899999999996,2009.6,3590.0600000000004,2846.37,2551.98
15,52,Barbados,millions,269.334927,206.157363,241.5965,215.370129,262.1,-193.50206,-27.652178,9.2045,27.828806,7.5,462.836987,233.809541,232.392,187.54132299999998,254.60000000000002
16,112,Belarus,millions,1237.8,1278.5,1421.0,1293.1,1396.8,113.8,70.0,49.7,16.0,82.2,1124.0,1208.5,1371.3,1277.1,1314.6
17,56,Belgium,millions,59242.655686,-708.306504,30820.575078,2886.006117,8437.406483,36374.001018,29698.037754,39498.235653,1580.698463,10227.228597,22868.654667999996,-30406.344258,-8677.660575000002,1305.307654,-1789.8221139999987
18,84,Belize,millions,43.9875,24.4945,118.275547,93.910242,76.202814,1.719,0.3225,0.7185,2.1185,4.449388,42.268499999999996,24.171999999999997,117.557047,91.791742,71.753426
19,204,Benin,millions,131.790684,200.902719,194.073683,218.207872,175.86377,17.381037,31.907388,9.770519,27.149514,24.096551,114.409647,168.995331,184.30316399999998,191.058358,151.76721899999998
20,60,Bermuda,millions,82.0,-288.109271,95.416371,4.389826,114.253538,72.0,-41.561602,-35.028302,-37.771563,341.166625,10.0,-246.54766899999998,130.444673,42.161389,-226.91308700000002
21,64,Bhutan,millions,-33.915118,-9.385654,6.522392,2.709358,2.508058,,,,,,,,,,
22,68,Bolivia (Plurinational State of),millions,335.36553,712.474138,302.368781,-216.636843,-1048.050943,88.86604,79.693113,-84.465304,48.314313,-101.804532,246.49948999999998,632.781025,386.834085,-264.95115599999997,-946.246411
23,70,Bosnia and Herzegovina,millions,349.75913,491.888017,574.342521,400.092905,370.807986,38.617983,78.51699,-24.169759,3.268625,-5.066712,311.14114700000005,413.37102699999997,598.51228,396.82428,375.874698
24,72,Botswana,millions,142.522577,260.575045,285.955062,93.607127,80.062756,-169.693691,0.86581,-82.078795,19.794884,16.930687,312.216268,259.709235,368.033857,73.81224300000001,63.132068999999994
25,76,Brazil,millions,53700.383657,66584.927444,59802.40649,65386.041322,24777.734035,-5900.75235,19040.367814,-16335.596649,19031.494453,-25808.417742,59601.136007,47544.55963,76138.00313900001,46354.546869,50586.15177700001
26,92,British Virgin Islands,millions,49022.945937,39609.971335,34389.709123,39103.361611,39619.63521,30167.796257,50904.064254,41586.972788,44153.535471,42280.161615,18855.149679999995,-11294.092918999995,-7197.263664999999,-5050.173860000003,-2660.526404999997
27,96,Brunei Darussalam,millions,-149.641293,460.083714,382.01849,274.599606,577.42681,,,,,,,,,,
28,100,Bulgaria,millions,1040.26088,1813.850191,1142.612472,1717.079702,2425.934663,405.077717,330.56265,248.605335,420.209505,203.734685,635.183163,1483.287541,894.0071370000001,1296.870197,2222.199978
29,854,Burkina Faso,millions,390.622114,2.57269,268.414908,162.969543,148.555726,50.50784,10.268821,67.713349,16.431847,22.107654,340.114274,-7.696131000000001,200.70155900000003,146.53769599999998,126.448072
30,108,Burundi,millions,0.055481,0.316473,0.983747,1.044959,6.05709,0.036443,0.009948,6e-06,0.74804,1.721128,0.019038,0.306525,0.9837410000000001,0.29691899999999993,4.335961999999999
31,132,Cabo Verde,millions,124.726336,110.841683,109.786869,106.52029,73.148062,-10.423314,-8.838214,-10.688597,-27.246298,-44.795161,135.14965,119.67989700000001,120.475466,133.766588,117.94322299999999
32,116,Cambodia,millions,2475.916,2785.731,3207.587,3661.927918,3624.64499,79.074,114.858,123.964,101.838,126.79873,2396.842,2670.873,3083.623,3560.0899179999997,3497.84626
33,120,Cameroon,millions,663.789,814.002,761.54955,1026.915328,488.229383,-38.889,21.865,109.654133,127.259939,84.512131,702.678,792.137,651.895417,899.655389,403.717252
34,124,Canada,millions,36055.874232,22766.845925,38239.938016,47837.153196,23822.78532,69506.619544,76188.421653,57417.013809,78897.763253,48655.149711,-33450.745312,-53421.575727999996,-19177.075792999996,-31060.610056999998,-24832.364391
35,136,Cayman Islands,millions,58815.590788,15173.395232,20680.811776,28165.128983,23621.049432,16603.755232,4079.220602,8261.259965,31629.917851,10834.716892,42211.835556000005,11094.174630000001,12419.551811,-3464.7888679999996,12786.33254
36,140,Central African Republic,millions,7.25609,6.888751,18.003535,25.601157,34.747196,,,,,,,,,,
37,148,Chad,millions,244.682121,363.381636,460.890508,566.638948,557.692503,,,,,,,,,,
38,152,Chile,millions,12071.931659,6203.318024,7742.476074,12525.392831,8385.907025,8235.762695,3599.03948,1292.090663,9278.230826,11582.751045,3836.1689640000004,2604.2785440000002,6450.385411,3247.1620049999983,-3196.8440200000005
39,344,"China, Hong Kong SAR",millions,117386.968985,110684.502614,104245.710276,73714.027344,119229.366077,59702.79236,86703.878356,82201.314027,53201.941777,102224.241838,57684.176625,23980.624257999996,22044.396248999998,20512.085567000002,17005.124238999997
40,446,"China, Macao SAR",millions,1958.709503,1254.423125,2497.241563,6689.821039,3513.845973,-1001.618499,813.979566,142.954351,561.429508,509.78033,2960.328002,440.44355900000005,2354.287212,6128.391531,3004.065643
41,156,"China, mainland",millions,133711.0,136315.0,138305.0,141225.0,149342.0,196149.43,158290.0,143037.31,136905.23,132940.0,-62438.42999999999,-21975.0,-4732.309999999998,4319.7699999999895,16402.0
42,158,"China, Taiwan Province of",millions,9692.0,3401.0,7114.0,8240.0,8802.0,17946.0,11552.0,18058.0,11787.0,14268.0,-8254.0,-8151.0,-10944.0,-3547.0,-5466.0
43,170,Colombia,millions,13848.0,13836.696227,11535.119873,14313.590447,7690.222333,4517.0,3689.564075,5126.317721,3218.668258,1966.132118,9331.0,10147.132152,6408.802151999999,11094.922189,5724.090215
44,174,Comoros,millions,3.569824,3.919473,5.672348,3.677361,8.555424,,,,,,,,,,
45,178,Congo,millions,1611.618196,4416.953734,4315.250918,3366.085012,4015.531451,10.381272,44.933603,13.614874,22.645836,27.173337,1601.2369239999998,4372.020130999999,4301.636044,3343.439176,3988.3581139999997
46,184,Cook Islands,millions,10.463203,1.918641,11.558709,7.980184,7.152511,0.313951,0.319736,0.311363,0.315017,0.315372,10.149252,1.598905,11.247346,7.665167,6.837139
47,188,Costa Rica,millions,2203.948381,2778.314023,2336.535228,2748.310173,1710.765399,76.913356,126.220639,53.38959,117.118402,86.771375,2127.035025,2652.093384,2283.145638,2631.191771,1623.9940239999999
48,384,Côte d'Ivoire,millions,577.871519,975.014998,620.330646,935.684597,508.531022,28.651433,676.031029,144.65216,119.514378,158.057404,549.220086,298.983969,475.678486,816.1702190000001,350.473618
49,191,Croatia,millions,273.228399,539.709222,1171.461739,1335.84245,1304.029898,-1938.495938,-724.669852,200.875797,167.434253,235.46155,2211.724337,1264.379074,970.585942,1168.4081970000002,1068.568348
50,531,Curaçao,millions,133.046405,172.678986,126.888268,55.915084,164.162218,38.821373,-145.267009,30.106145,11.246927,3.9304,94.225032,317.94599500000004,96.782123,44.668157,160.231818
51,196,Cyprus,millions,10928.262602,9422.629933,-1735.267119,26183.25767,-3646.803063,8689.646012,8678.391837,-7326.390104,20236.877108,-5954.124485,2238.6165900000015,744.238096000001,5591.122985,5946.3805619999985,2307.3214220000004
52,203,Czechia,millions,9814.76887,9521.682018,11010.36396,10108.406972,6292.550409,2181.805996,7560.010489,8662.556097,4128.152732,3142.397047,7632.962874,1961.6715289999993,2347.807863,5980.254240000001,3150.1533620000005
53,408,Democratic People's Republic of Korea,millions,89.317272,-12.832422,1.953529,29.89501,6.338706,,,,,,,,,,
54,180,Democratic Republic of the Congo,millions,1204.708617,1340.204101,1616.794884,1488.05357,1646.921056,272.333948,292.224618,209.231296,133.924629,148.836248,932.374669,1047.979483,1407.563588,1354.128941,1498.0848079999998
55,208,Denmark,millions,235.303904,3748.81302,1198.488777,3587.103998,1151.303119,10110.491821,9518.2564,-369.460137,11403.943985,4395.342695,-9875.187917,-5769.443380000001,1567.948914,-7816.839986999999,-3244.039576
56,262,Djibouti,millions,159.998875,165.001125,170.003376,222.0,240.0,,,,,,,,,,
