,Country,M49_Code,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020
143,Poland,616,15690.147561,9172.340071,15996.269918,10852.521569,10079.564238,11599.987826,2169.485067,891.044343,1290.209995,1820.915332,4090.1597349999993,7002.855004000001,15105.225575,9562.311574000001,8258.648906
144,Portugal,620,5065.822944,7752.151776,7115.338198,12084.401691,6323.591369,871.920368,-749.410018,799.437364,3344.485178,2287.582393,4193.9025759999995,8501.561794,6315.900834,8739.916513,4036.0089759999996
145,Qatar,634,773.901,985.989011,-2186.263736,-2812.637363,-2433.928846,7901.923,1694.78022,3522.802198,4450.274725,2730.142388,-7128.022,-708.7912090000001,-5709.065934,-7262.912088,-5164.071234
146,Republic of Korea,410,12104.3,17912.9,12182.6,9634.3,9223.6,29889.5,34069.4,38220.4,35239.0,32479.7,-17785.2,-16156.5,-26037.800000000003,-25604.7,-23256.1
147,Republic of Moldova,498,84.18,151.59,292.07,503.06,54.78,9.12,12.62,38.05,41.54,-11.6,75.06,138.97,254.01999999999998,461.52,66.38
148,Romania,642,5000.387417,5419.471086,6218.911348,5791.043306,2321.640286,4.615793,-96.598547,379.086696,362.709846,201.666236,4995.771624,5516.069632999999,5839.824651999999,5428.33346,2119.97405
149,Russian Federation,643,37175.766913,25953.535828,13227.642062,32075.621933,9676.068797,26951.187156,34153.096111,35819.671314,22023.982236,6311.367903,10224.579757,-8199.560282999999,-22592.029252,10051.639696999999,3364.7008939999996
150,Rwanda,646,342.3,356.436501,381.911599,353.844486,134.754943,47.756564,15.686571,17.964147,5.432309,,294.54343600000004,340.74993,363.947452,348.41217700000004,
151,Saint Kitts and Nevis,659,93.77,50.927407,84.843333,92.266667,47.090862,-0.652593,-0.443704,-0.462593,,-6.467426,94.42259299999999,51.371111,85.305926,,53.558288000000005
152,Saint Lucia,662,129.32037,131.028889,135.135556,30.640741,14.922428,5.425926,5.607778,13.190741,8.074815,-39.194479,123.894444,125.421111,121.944815,22.565925999999997,54.116907
153,Saint Vincent and the Grenadines,670,153.077037,98.13963,100.46963,113.066667,72.892264,-9.347778,-4.646296,-4.756667,-6.250247,-3.229607,162.424815,102.785926,105.22629699999999,119.316914,76.121871
154,Samoa,882,2.549967,9.078017,16.722124,-2.151612,-0.774462,15.289049,0.098973,0.037707,4.314424,4.920771,-12.739082,8.979043999999998,16.684417,-6.466036,-5.695233
155,Sao Tome and Principe,678,30.607771,29.184452,23.203612,24.191799,47.112185,1.006101,0.322067,2.393965,0.938906,0.853447,29.60167,28.862385,20.809647,23.252893,46.258737999999994
156,Saudi Arabia,682,7452.533333,1418.843614,4247.119093,4562.573671,5486.095693,8936.155333,7279.599195,19252.328473,13547.065583,4854.208727,-1483.6220000000003,-5860.755580999999,-15005.20938,-8984.491912,631.886966
157,Senegal,686,472.409796,588.292998,847.841575,1065.46282,1480.500726,223.862541,82.4153,52.80833,71.064034,171.462305,248.54725499999998,505.877698,795.0332450000001,994.398786,1309.038421
158,Serbia,688,2352.016562,2878.291575,4090.505675,4269.812527,3439.793434,249.810172,146.601231,362.790848,294.456727,124.831417,2102.20639,2731.690344,3727.714827,3975.3558000000003,3314.9620170000003
159,Seychelles,690,155.238,191.947661,119.523531,143.741856,122.294836,10.257,5.860303,5.05402,-2.05826,10.24901,144.981,186.08735800000002,114.46951100000001,145.800116,112.045826
160,Sierra Leone,694,137.965734,128.88345,217.812919,367.7,348.7,,,,,,,,,,
161,Singapore,702,70221.273208,84670.982599,75968.719835,114161.849287,90561.858666,38157.14234,64882.651546,22035.123461,50578.08553,32375.473096,32064.130868,19788.331052999994,53933.596374,63583.76375700001,58186.38557
162,Sint Maarten (Dutch part),534,54.709962,64.248297,-196.625698,58.93959,25.299934,2.649801,2.178771,3.921136,1.26364,3.57919,52.060160999999994,62.069525999999996,-200.546834,57.67595,21.720744
163,Slovakia,703,805.90078,4016.770767,1675.084894,2448.710806,-1929.725205,95.550794,1325.384598,321.694624,153.254985,233.45585,710.3499860000001,2691.386169,1353.39027,2295.455821,-2163.181055
164,Slovenia,705,1245.942087,897.753076,1384.172995,1226.621691,529.099659,289.858537,338.337796,280.863806,389.483329,555.055562,956.0835499999998,559.4152799999999,1103.3091889999998,837.138362,-25.955903000000035
165,Solomon Islands,90,38.607527,42.8399,24.838211,32.808616,9.13347,1.34517,7.065582,8.997291,4.025833,3.415564,37.262356999999994,35.774318,15.84092,28.782783000000002,5.717906000000001
166,Somalia,706,330.0,369.0,408.0,447.0,464.0,,,,,,,,,,
167,South Africa,710,2235.001472,2008.360978,5449.554014,5124.986962,3106.48726,4474.489806,7371.170387,4076.114369,3146.640115,-1973.254317,-2239.4883339999997,-5362.809409,1373.4396450000004,1978.3468469999998,5079.741577
168,South Sudan,728,-7.85,1.42,60.14,-231.84,17.5,,,,,,,,,,
169,Spain,724,31569.396294,41966.313078,53494.91953,8514.725572,8928.407175,43945.539173,56045.45814,37733.888225,19671.411747,21422.067925,-12376.142878999999,-14079.145062000003,15761.031304999997,-11156.686174999999,-12493.66075
170,Sri Lanka,144,897.049,1372.723,1614.044,758.187,433.869416,236.808,71.791,67.857,77.363,14.542784,660.241,1300.932,1546.1870000000001,680.8240000000001,419.326632
171,Sudan,729,1063.767535,1065.298481,1135.787164,825.354992,716.939711,,,,,,,,,,
172,Suriname,740,299.987,98.2,119.191,-19.5,-27.10426,,,,,,,,,,
173,Sweden,752,19140.760501,15900.131713,4221.446536,10112.335673,26109.330317,4699.374795,27361.542943,17834.533101,15549.225346,31014.48605,14441.385706000001,-11461.41123,-13613.086565000001,-5436.889673,-4905.155733
174,Switzerland,756,150467.364466,110723.032259,-68313.413963,-79077.278703,-47171.937969,166852.305692,19522.395511,43491.476493,-43722.641731,16767.537787,-16384.941225999995,91200.636748,-111804.890456,-35354.636972,-63939.475756
175,Tajikistan,762,345.407057,307.029681,359.617602,212.809731,106.534793,35.093312,159.086159,81.50617,23.212629,70.334962,310.31374500000004,147.94352199999997,278.111432,189.597102,36.19983099999999
176,Thailand,764,2491.280295,7874.923355,11144.488574,3063.020525,-6099.734518,12397.73486,13806.802998,15326.147913,8390.539984,16715.586293,-9906.454565,-5931.879642999999,-4181.659339,-5327.519458999999,-22815.320811
177,Timor-Leste,626,5.479,6.716,47.926,74.58,72.378586,12.667,,,,693.867525,-7.188,,,,-621.488939
178,Togo,768,-46.308336,88.560066,-183.387577,345.696967,639.483236,256.966648,-32.575183,70.205705,42.842154,931.339213,-303.274984,121.13524900000002,-253.593282,302.854813,-291.85597699999994
179,Tonga,776,8.846123,13.780786,15.047474,12.558128,-0.467915,1.173465,1.450609,0.5,1.041358,0.392539,7.672658,12.330177,14.547474,11.51677,-0.860454
180,Trinidad and Tobago,780,-23.598182,-470.9,-700.185701,183.972765,-438.711033,-25.339199,-12.03625,65.041764,114.158995,172.402616,1.7410169999999994,-458.86375,-765.2274649999999,69.81377,-611.113649
181,Tunisia,788,884.996951,880.78779,1035.941738,844.796934,652.121814,241.616737,57.451667,34.002464,21.810006,43.379968,643.380214,823.3361229999999,1001.939274,822.9869279999999,608.741846
182,Türkiye,792,13651.0,10965.0,12840.0,9290.0,7880.0,2954.0,2626.0,3605.0,2967.0,3240.0,10697.0,8339.0,9235.0,6323.0,4640.0
183,Turkmenistan,795,2243.16,2085.944135,1997.297379,2129.436528,1169.442175,,,,,,,,,,
184,Turks and Caicos Islands,796,16.59,22.068,42.227,26.961667,30.418889,,,,,,,,,,
185,Tuvalu,798,0.3,0.3,0.298862,0.298862,0.1,,,,,,,,,,
186,Uganda,800,625.704362,802.704141,1055.353353,1258.885586,822.589738,0.1529,0.309433,0.327252,0.331312,0.330267,625.5514619999999,802.394708,1055.026101,1258.554274,822.259471
187,Ukraine,804,3809.651871,3692.0,4454.969953,5860.41434,-868.0,16.0,8.0,-5.0,648.0,82.0,3793.651871,3684.0,4459.969953,5212.41434,-950.0
188,United Arab Emirates,784,9604.773,10354.223,10385.286,17874.659401,19884.468665,15711.4,14059.946,15079.292,21226.158038,18937.3297,-6106.627,-3705.723,-4694.005999999999,-3351.4986370000006,947.1389650000019
189,United Kingdom of Great Britain and Northern Ireland,826,258698.675452,96353.831501,65299.413501,45454.371398,19724.358974,-37605.82207,142373.034055,41424.515564,-6080.835285,-33408.974359,296304.497522,-46019.202554,23874.897937,51535.206683000004,53133.333333
190,United Republic of Tanzania,834,864.04,937.7,971.576866,990.626174,1012.626174,,,,,,,,,,
191,United States of America,840,459419.0,295296.0,223401.0,261412.0,156321.0,284469.0,327781.0,-194412.0,93552.0,92811.0,174950.0,-32485.0,417813.0,167860.0,63510.0
192,Uruguay,858,-1825.327407,-600.678582,163.486037,1836.946845,2629.798334,2.304628,1477.92679,663.657809,590.412869,17.004842,-1827.632035,-2078.605372,-500.17177200000003,1246.533976,2612.7934920000002
193,Uzbekistan,860,1662.586807,1797.341436,624.686535,2316.482962,1725.688329,5.817261,9.020949,1.911236,3.088905,1.743108,1656.769546,1788.320487,622.775299,2313.394057,1723.9452210000002
194,Vanuatu,548,43.939156,38.248639,37.471066,35.133027,29.560294,0.924839,1.066584,1.362502,0.171704,1.838562,43.014317,37.182055,36.108564,34.961323,27.721732
195,Venezuela (Bolivarian Republic of),862,1068.0,-68.0,886.0,934.0,958.666667,1041.0,2234.0,661.0,1076.0,-78.666667,27.0,-2302.0,225.0,-142.0,1037.333334
196,Viet Nam,704,12600.0,14100.0,15500.0,16120.0,15800.0,1000.0,480.0,598.0,465.0,380.0,11600.0,13620.0,14902.0,15655.0,15420.0
197,Yemen,887,-561.0,-269.85,-282.098333,-370.982778,,0.787,5.601,3.605667,3.331222,,-561.787,-275.451,-285.704,-374.314,
