ISO3_Code,Country_Name,M49_Code,Corruption_Perception_Index_2020,Corruption_Perception_Index_2019,Corruption_Perception_Index_2018,Corruption_Perception_Index_2017,Corruption_Perception_Index_2016,Corruption_Perception_Index_Avg
SLB,Solomon Islands,90.0,42.0,42.0,44.0,39.0,42.0,41.8
BEN,Benin,204.0,41.0,41.0,40.0,39.0,36.0,39.4
GUY,Guyana,328.0,41.0,40.0,37.0,38.0,34.0,38.0
LSO,Lesotho,426.0,41.0,40.0,41.0,42.0,39.0,40.6
BFA,Burkina Faso,854.0,40.0,40.0,41.0,42.0,42.0,41.0
IND,India,356.0,40.0,41.0,41.0,40.0,40.0,40.4
MAR,Morocco,504.0,40.0,41.0,43.0,40.0,37.0,40.2
TLS,Timor-Leste,626.0,40.0,38.0,35.0,38.0,35.0,37.2
TTO,Trinidad and Tobago,780.0,40.0,40.0,41.0,41.0,35.0,39.4
TUR,Türkiye,792.0,40.0,39.0,41.0,40.0,41.0,40.2
COL,Colombia,170.0,39.0,37.0,36.0,37.0,37.0,37.2
ECU,Ecuador,218.0,39.0,38.0,34.0,32.0,31.0,34.8
BRA,Brazil,76.0,38.0,35.0,35.0,37.0,40.0,37.0
ETH,Ethiopia,231.0,38.0,37.0,34.0,35.0,34.0,35.6
KAZ,Kazakhstan,398.0,38.0,34.0,31.0,31.0,29.0,32.6
PER,Peru,604.0,38.0,36.0,35.0,37.0,35.0,36.2
SRB,Serbia,688.0,38.0,39.0,39.0,41.0,42.0,39.8
LKA,Sri Lanka,144.0,38.0,38.0,38.0,38.0,36.0,37.6
SUR,Suriname,740.0,38.0,44.0,43.0,41.0,45.0,42.2
TZA,United Republic of Tanzania,834.0,38.0,37.0,36.0,36.0,32.0,35.8
GMB,Gambia,270.0,37.0,37.0,37.0,30.0,26.0,33.4
IDN,Indonesia,360.0,37.0,40.0,38.0,37.0,37.0,37.8
ALB,Albania,8.0,36.0,35.0,36.0,38.0,39.0,36.8
DZA,Algeria,12.0,36.0,35.0,35.0,33.0,34.0,34.6
CIV,Côte d'Ivoire,384.0,36.0,35.0,35.0,36.0,34.0,35.2
SLV,El Salvador,222.0,36.0,34.0,35.0,33.0,36.0,34.8
THA,Thailand,764.0,36.0,36.0,36.0,37.0,35.0,36.0
VNM,Viet Nam,704.0,36.0,37.0,33.0,35.0,33.0,34.8
BIH,Bosnia and Herzegovina,70.0,35.0,36.0,38.0,38.0,39.0,37.2
MNG,Mongolia,496.0,35.0,35.0,37.0,36.0,38.0,36.2
MKD,North Macedonia,807.0,35.0,35.0,37.0,35.0,37.0,35.8
PAN,Panama,591.0,35.0,36.0,37.0,37.0,38.0,36.6
MDA,Republic of Moldova,498.0,34.0,32.0,33.0,31.0,30.0,32.0
PHL,Philippines,608.0,34.0,34.0,36.0,34.0,35.0,34.6
EGY,Egypt,818.0,33.0,35.0,35.0,32.0,34.0,33.8
SWZ,Eswatini,748.0,33.0,34.0,38.0,39.0,,36.0
NPL,Nepal,524.0,33.0,34.0,31.0,31.0,29.0,31.6
SLE,Sierra Leone,694.0,33.0,33.0,30.0,30.0,30.0,31.2
UKR,Ukraine,804.0,33.0,30.0,32.0,30.0,29.0,30.8
ZMB,Zambia,894.0,33.0,34.0,35.0,37.0,38.0,35.4
NER,Niger,562.0,32.0,32.0,34.0,33.0,35.0,33.2
BOL,Bolivia (Plurinational State of),68.0,31.0,31.0,29.0,33.0,33.0,31.4
KEN,Kenya,404.0,31.0,28.0,27.0,28.0,26.0,28.0
KGZ,Kyrgyzstan,417.0,31.0,30.0,29.0,29.0,28.0,29.4
MEX,Mexico,484.0,31.0,29.0,28.0,29.0,30.0,29.4
PAK,Pakistan,586.0,31.0,32.0,33.0,32.0,32.0,32.0
AZE,Azerbaijan,31.0,30.0,30.0,25.0,31.0,30.0,29.2
GAB,Gabon,266.0,30.0,31.0,31.0,32.0,35.0,31.8
MWI,Malawi,454.0,30.0,31.0,32.0,31.0,31.0,31.0
