,ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
12,BGD,Bangladesh,50,71.09,71.7879,72.5675,72.8057,71.9678,72.04378,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,6.5398119928,108.2819,116.000498,122.142365,129.304981,136.211324,122.3882136,2332.72,2151.56,3613.3,2873.95,2563.58,40.53,141.96,23.24,27.58,11.6,2292.19,2009.6,3590.06,2846.37,2551.98,13.3,12.5,11.5,11.0,11.4
13,BGR,Bulgaria,100,74.8336,74.7992,74.8983,75.0624,73.6453,74.64776,11.23243999,11.24269962,11.29952653,11.35635344,11.41318035,11.3088399859999,100.490613,104.336471,107.007477,114.476757,116.637022,108.589668,1040.26088,1813.850191,1142.612472,1717.079702,2425.934663,405.077717,330.56265,248.605335,420.209505,203.734685,635.183163,1483.287541,894.007137,1296.870197,2222.199978,3.5,3.0,2.8,3.0,3.0
14,BIH,Bosnia and Herzegovina,70,76.8083,76.9349,77.0926,77.2412,76.2254,76.86048,9.692919731,9.752649784,9.812379837,10.17434978,10.53631973,9.9937237724,97.8111,99.5009,99.6182,101.0793,101.7047,99.94284,349.75913,491.888017,574.342521,400.092905,370.807986,38.617983,78.51699,-24.169759,3.268625,-5.066712,311.141147,413.371027,598.51228,396.82428,375.874698,1.5,1.5,1.5,1.5,1.5
15,BLR,Belarus,112,74.258,74.4519,74.5676,74.216,72.5132,74.00134,11.85758429,11.95291634,12.04824839,12.14358044,12.14358044,12.02918198,115.694397,120.59984,127.57051,133.005014,141.238025,127.6215572,1237.8,1278.5,1421.0,1293.1,1396.8,113.8,70.0,49.7,16.0,82.2,1124.0,1208.5,1371.3,1277.1,1314.6,1.5,1.5,1.5,1.5,1.5
16,BLZ,Belize,84,73.3988,73.5624,73.7031,73.9313,72.854,73.48992,9.503048134,9.339186096,9.175324059,9.011462021,8.847599983,9.1753240586,99.201553,99.340829,98.723919,99.546054,102.805625,99.923596,43.9875,24.4945,118.275547,93.910242,76.202814,1.719,0.3225,0.7185,2.1185,4.449388,42.2685,24.172,117.557047,91.791742,71.753426,7.2,7.0,6.7,6.8,7.4
17,BOL,Bolivia (Plurinational State of),68,67.6277,67.7015,67.748,67.841,64.4667,67.07698,9.162832737,9.396595001,9.630357265,9.86411953,9.827750206,9.57633094779999,108.111846,110.954091,113.008593,115.232584,114.329014,112.3272256,335.36553,712.474138,302.368781,-216.636843,-1048.050943,88.86604,79.693113,-84.465304,48.314313,-101.804532,246.49949,632.781025,386.834085,-264.951156,-946.246411,13.1,12.5,12.1,11.9,13.9
18,BRA,Brazil,76,74.4415,74.8266,75.1095,75.3379,74.0089,74.74488,7.731040001,7.851759911,7.982019901,8.128813955,8.128813955,7.96448954459999,114.3018,112.1666,116.6876,124.141857,141.626625,121.7848964,53700.38366,66584.92744,59802.40649,65386.04132,24777.73404,-5900.75235,19040.36781,-16335.59665,19031.49445,-25808.41774,59601.13601,47544.55963,76138.00314,46354.54687,50586.15178,1.5,1.5,1.5,2.6,4.1
19,BRB,Barbados,52,76.8149,76.936,77.067,77.2569,77.3929,77.0935399999999,9.734617347,9.77397843,9.813339513,9.852700596,9.852700596,9.8054672964,114.376464,121.945129,120.550901,135.506459,140.72365,126.6205206,269.334927,206.157363,241.5965,215.370129,262.1,-193.50206,-27.652178,9.2045,27.828806,7.5,462.836987,233.809541,232.392,187.541323,254.6,4.4,4.3,4.1,3.7,3.4
20,BRN,Brunei Darussalam,96,74.7332,74.722,74.7118,74.7483,74.7949,74.74204,9.06,9.1,9.14,9.18,9.18,9.132,99.021323,101.225778,101.336234,100.926443,105.672775,101.6365106,-149.641293,460.083714,382.01849,274.599606,577.42681,,,,,,,,,,,6.8,6.2,5.8,5.8,5.9
21,BWA,Botswana,72,65.4644,66.7526,65.4224,65.4636,65.6471,65.7500199999999,10.1,10.18,10.26,10.34,10.34,10.244,104.29427,105.430148,105.225589,108.382356,112.275703,107.1216132,142.522577,260.575045,285.955062,93.607127,80.062756,-169.693691,0.86581,-82.078795,19.794884,16.930687,312.216268,259.709235,368.033857,73.812243,63.132069,20.1,21.3,21.5,22.1,21.9
22,CAN,Canada,124,82.0434,82.0192,82.0508,82.3628,82.0471,82.10466,13.73192024,13.76600456,13.80017348,13.83442722,13.83442722,13.793390544,98.58939,100.0767,102.5556,105.8136,106.3802,102.683098,36055.87423,22766.84593,38239.93802,47837.1532,23822.78532,69506.61954,76188.42165,57417.01381,78897.76325,48655.14971,-33450.74531,-53421.57573,-19177.07579,-31060.61006,-24832.36439,1.5,1.5,1.5,1.5,1.5
23,CHE,Switzerland,756,83.4452,83.4125,83.5615,83.7802,83.067,83.4532799999999,13.66668034,13.73318529,13.79969025,13.85966015,13.85966015,13.783775236,99.67825,100.3039,101.7886,101.0811,100.6567,100.70171,150467.3645,110723.0323,-68313.41396,-79077.2787,-47171.93797,166852.3057,19522.39551,43491.47649,-43722.64173,16767.53779,-16384.94123,91200.63675,-111804.8905,-35354.63697,-63939.47576,1.5,1.5,1.5,1.5,1.5
24,CHL,Chile,152,80.0794,80.3501,80.1334,80.3263,79.3769,80.05322,10.42321491,10.59051991,10.76136507,10.9349663,10.9349663,10.729006498,104.5233,107.0929,110.1873,114.3097,123.0354,111.82972,12071.93166,6203.318024,7742.476074,12525.39283,8385.907025,8235.762695,3599.03948,1292.090663,9278.230826,11582.75105,3836.168964,2604.278544,6450.385411,3247.162005,-3196.84402,3.1,2.9,2.7,2.6,2.6
25,CMR,Cameroon,120,60.2333,60.8103,61.1798,61.5839,60.8328,60.92802,5.983691359,6.039564753,6.095438148,6.151311543,6.151311543,6.08426346919999,100.59845,101.965277,104.1522,106.976975,110.712969,104.881174199999,663.789,814.002,761.54955,1026.915328,488.229383,-38.889,21.865,109.654133,127.259939,84.512131,702.678,792.137,651.895417,899.655389,403.717252,5.9,6.6,6.9,6.7,6.7
26,COD,Democratic Republic of the Congo,180,59.0664,59.4114,59.9417,60.2757,59.7392,59.6868799999999,6.75948,6.889088258,7.018696516,7.018696516,7.018696516,6.9409315612,109.950799,116.044473,117.852991,119.661508,121.470025,116.995959199999,1204.708617,1340.204101,1616.794884,1488.05357,1646.921056,272.333948,292.224618,209.231296,133.924629,148.836248,932.374669,1047.979483,1407.563588,1354.128941,1498.084808,36.0,36.4,36.3,37.7,39.8
27,COG,Congo,178,63.5765,63.76,64.0531,62.7467,63.7852,63.5843,6.124,6.138,6.152,6.166,6.166,6.1492,97.303491,98.72583,97.762748,102.808461,101.593885,99.6388829999999,1611.618196,4416.953734,4315.250918,3366.085012,4015.531451,10.381272,44.933603,13.614874,22.645836,27.173337,1601.236924,4372.020131,4301.636044,3343.439176,3988.358114,26.4,28.3,29.3,29.9,31.6
28,COL,Colombia,170,76.4713,76.6456,76.7479,76.7523,74.7692,76.27726,8.221500397,8.362985134,8.504469872,8.643030167,8.862859726,8.5189690592,112.482,113.0231,115.13,121.8075,127.6561,118.01974,13848.0,13836.69623,11535.11987,14313.59045,7690.222333,4517.0,3689.564075,5126.317721,3218.668258,1966.132118,9331.0,10147.13215,6408.802152,11094.92219,5724.090215,6.0,5.9,6.2,7.2,8.2
29,CPV,Cabo Verde,132,75.7423,76.5928,75.7331,76.0042,74.8077,75.77602,5.973347954,6.076351994,6.181132228,6.287719287,6.287719287,6.16125415,100.424339,99.32918,100.100364,104.367955,101.698239,101.184015399999,124.726336,110.841683,109.786869,106.52029,73.148062,-10.423314,-8.838214,-10.688597,-27.246298,-44.795161,135.14965,119.679897,120.475466,133.766588,117.943223,17.0,16.2,15.4,14.5,17.7
30,CRI,Costa Rica,188,79.4592,79.3769,79.4835,79.4272,79.277,79.40476,8.564390182,8.643780231,8.72317028,8.763615131,8.804059982,8.69980316119999,99.55278,103.0246,103.3305,103.8196,107.7201,103.489516,2203.948381,2778.314023,2336.535228,2748.310173,1710.765399,76.913356,126.220639,53.38959,117.118402,86.771375,2127.035025,2652.093384,2283.145638,2631.191771,1623.994024,3.6,3.2,3.2,3.4,3.4
31,CYP,Cyprus,196,81.0563,81.328,81.382,81.397,81.3905,81.31076,12.08658028,12.18473005,12.28287983,12.36152506,12.44017029,12.271177102,100.78,96.47,98.5,100.27,100.64,99.332,10928.2626,9422.629933,-1735.267119,26183.25767,-3646.803063,8689.646012,8678.391837,-7326.390104,20236.87711,-5954.124485,2238.61659,744.238096,5591.122985,5946.380562,2307.321422,1.5,1.5,1.5,1.5,1.5
32,CZE,Czechia,203,78.9967,78.9557,79.0039,79.2433,78.5746,78.95484,12.73709011,12.78682041,12.8280654,12.86931038,12.86931038,12.818119336,100.8,106.4,105.8,110.9,110.8,106.939999999999,9814.76887,9521.682018,11010.36396,10108.40697,6292.550409,2181.805996,7560.010489,8662.556097,4128.152732,3142.397047,7632.962874,1961.671529,2347.807863,5980.25424,3150.153362,1.5,1.5,1.5,1.5,1.5
33,DEU,Germany,276,80.8471,80.9442,81.1717,81.5584,81.1472,81.13372,14.1321497,14.10476494,14.07738018,14.09096691,14.09096691,14.099245728,102.3,105.0,106.1,108.1,108.5,106.0,15633.14737,48641.41842,62072.96769,54062.91225,35651.04979,63660.95836,86517.52692,86243.95941,139278.1682,34949.87242,-48027.81099,-37876.10849,-24170.99172,-85215.25598,701.177376,1.5,1.5,1.5,1.5,1.5
34,DJI,Djibouti,262,62.1908,62.7966,63.0381,63.0854,62.6943,62.76104,4.07,4.07,4.0,4.1,4.1,4.068,108.327675,106.936486,110.019595,117.519103,118.879304,112.3364326,159.998875,165.001125,170.003376,222.0,240.0,,,,,,,,,,,13.6,13.5,13.1,13.1,13.5
