Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","254.077252","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","117.296453","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","27.541899","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","87.862279","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","110.17565","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","-133.317939","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","113.710125","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","48401.364843","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","45225.175511","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","68477.419509","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","39224.000995","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","20146.102946","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-8508.306429","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","14953.062086","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","5287.327675","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","967.544649","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","-17339.686992","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","031","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","4500","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","031","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2867","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","031","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1403","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","031","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1503.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","031","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","507.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","044","Bahamas","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1259.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","044","Bahamas","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","901.448","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","044","Bahamas","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","947.43","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","044","Bahamas","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","610.957174","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","044","Bahamas","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","896.78392","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","048","Bahrain","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","243.351064","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","048","Bahrain","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1426.06383","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","048","Bahrain","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1654.255319","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","048","Bahrain","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1501.329787","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","048","Bahrain","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1006.648936","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","050","Bangladesh","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","2332.72","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","050","Bangladesh","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2151.56","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","050","Bangladesh","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","3613.3","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","050","Bangladesh","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","2873.95","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","050","Bangladesh","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","2563.58","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","052","Barbados","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","269.334927","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","052","Barbados","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","206.157363","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","052","Barbados","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","241.5965","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","052","Barbados","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","215.370129","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","052","Barbados","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","262.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1237.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1278.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1421","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1293.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1396.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","59242.655686","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-708.306504","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","30820.575078","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","2886.006117","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","8437.406483","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","084","Belize","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","43.9875","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","084","Belize","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","24.4945","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","084","Belize","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","118.275547","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","084","Belize","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","93.910242","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","084","Belize","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","76.202814","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","204","Benin","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","131.790684","X","Figure from international organizations","UNCTAD"
