Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","-142.555366","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","-27.278869","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","-0.391061","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","8.579362","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","4.624964","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","1.666465","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","-10.041281","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","2304.472908","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","6355.958184","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","7799.541546","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","9265.856892","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","036","Australia","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","9171.521281","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","-2033.498539","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","10251.113582","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","5611.767314","X","Figure from international organizations","UNCTAD"
