ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
COL,Colombia,170.0,76.4713,76.6456,76.7479,76.7523,74.7692,76.27726,8.221500397,8.362985134,8.504469872,8.643030167,8.862859726,8.5189690592
COM,Comoros,174.0,63.2368,63.6254,63.9117,64.0684,64.1665,63.80176,4.845539248,4.908531258,4.993590129,5.078649,5.078649,4.980991727
CPV,Cabo Verde,132.0,75.7423,76.5928,75.7331,76.0042,74.8077,75.77602,5.973347954,6.076351994,6.181132228,6.287719287,6.287719287,6.16125415
CRI,Costa Rica,188.0,79.4592,79.3769,79.4835,79.4272,79.277,79.40476,8.564390182,8.643780231,8.72317028,8.763615131,8.804059982,8.699803161199998
CUB,Cuba,192.0,77.643,77.5286,77.4962,77.6112,77.5673,77.56926,12.0596942,12.20397456,12.34998107,12.49773438,12.49773438,12.321823718
CYP,Cyprus,196.0,81.0563,81.328,81.382,81.397,81.3905,81.31076,12.08658028,12.18473005,12.28287983,12.36152506,12.44017029,12.271177102
CZE,Czechia,203.0,78.9967,78.9557,79.0039,79.2433,78.5746,78.95484000000002,12.73709011,12.78682041,12.8280654,12.86931038,12.86931038,12.818119336
DEU,Germany,276.0,80.8471,80.9442,81.1717,81.5584,81.1472,81.13372,14.1321497,14.10476494,14.07738018,14.09096691,14.09096691,14.099245728
DJI,Djibouti,262.0,62.1908,62.7966,63.0381,63.0854,62.6943,62.76104,4.07,4.07,4.0,4.1,4.1,4.0680000000000005
DMA,Dominica,212.0,70.1284,67.5253,73.59,73.5588,73.649,71.69030000000001,8.017922938,8.059343959,8.100764979,8.142186,8.142186,8.0924807752
DNK,Denmark,208.0,80.8803,81.1112,80.99,81.4337,81.5449,81.19201999999999,13.16281986,13.011765,12.86071014,12.91060019,12.96049023,12.981277084000002
DOM,Dominican Republic,214.0,72.9867,73.0629,73.2323,73.5767,72.8894,73.1496,9.044050217,8.936204255,9.106114462,9.306864107,9.306864107,9.1400194296
DZA,Algeria,12.0,75.7318,75.7428,76.0656,76.4742,74.4528,75.69344000000001,7.877038634,7.940606186,8.004686727,8.069284397,8.069284397,7.9921800682
ECU,Ecuador,218.0,76.7634,76.9725,77.0938,77.2971,72.1535,76.05606,8.692919731,8.765919685,8.782986323,8.800052961,8.817119598,8.7717996596
EGY,Egypt,818.0,70.8435,71.3019,71.3669,71.3575,70.9905,71.17206,8.806776914,9.04570961,9.305633501,9.573026174,9.573026174,9.2608344746
ERI,Eritrea,232.0,66.2893,66.5773,67.0675,67.2996,67.1334,66.87342,4.75409968,4.82066744,4.8872352,4.8872352,4.8872352,4.8472945439999995
ESP,Spain,724.0,83.0411,83.0295,83.1436,83.5321,82.2892,83.00710000000001,10.01107979,10.07671499,10.1423502,10.37387514,10.60540009,10.241884042
EST,Estonia,233.0,77.8201,77.976,78.1395,78.6693,78.3431,78.1896,13.51035023,13.55548,13.65631008,13.60237026,13.54843044,13.574588202000001
ETH,Ethiopia,231.0,64.3919,64.8383,65.4117,65.8377,65.3705,65.17002,2.681135178,2.854597012,3.028058847,3.201520681,3.201520681,2.9933664797999997
FIN,Finland,246.0,81.2915,81.4976,81.6266,81.8706,81.8657,81.6304,12.68652487,12.73937988,12.80649996,12.87362003,12.87362003,12.795928953999999
FJI,Fiji,242.0,67.2395,67.7904,67.8096,67.8933,67.9244,67.73143999999999,10.49146872,10.63035965,10.77497021,10.92154799,10.92154799,10.747978912
FRA,France,250.0,82.4372,82.4732,82.5909,82.7315,82.2104,82.48864,11.35085964,11.40970039,11.50988007,11.61005974,11.61005974,11.498111916
FSM,Micronesia (Federated States of),583.0,71.5954,71.4666,71.3183,71.0771,70.674,71.22628,7.64096556,7.717375215,7.717375215,7.804956,7.804956,7.737125598
GAB,Gabon,266.0,65.8025,66.1889,66.3064,66.6028,66.5305,66.28622,9.094,9.208,9.322,9.436,9.436,9.2992
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,81.0747,81.1684,81.1254,81.725,80.4345,81.10560000000001,13.07054679,13.16133022,13.24292692,13.32452361,13.4061203,13.241089568000001
GEO,Georgia,268.0,73.5692,73.5701,73.3414,73.4696,72.7653,73.34312,12.81457043,12.87436008,12.84828997,12.82221985,12.82221985,12.836332035999998
GHA,Ghana,288.0,63.8902,64.0131,64.122,64.7401,64.114,64.17588,7.919448013,8.056260907,8.193073801,8.329886695,8.329886695,8.165711222199999
GIN,Guinea,324.0,58.7625,59.1093,59.3491,59.7199,59.3273,59.25362,2.000424981,2.064812481,2.129199982,2.202125952,2.202125952,2.1197378695999998
GMB,Gambia,270.0,63.0127,62.9955,63.04,63.7549,62.6125,63.083119999999994,4.02814688,4.180482013,4.332817146,4.485152279,4.637487411,4.3328171458
GNB,Guinea-Bissau,624.0,59.6739,60.0665,60.5016,60.8818,59.9988,60.22452,3.433009046,3.483245697,3.533482349,3.583719,3.583719,3.5234350184
GNQ,Equatorial Guinea,226.0,60.4786,60.8205,61.1914,61.6444,60.7083,60.96863999999999,5.539093132,5.550890776,5.550890776,5.910863,5.910863,5.6925201368
GRC,Greece,300.0,81.1617,80.8501,81.3907,81.2489,80.9092,81.11211999999999,10.25430012,10.54285765,10.83141518,11.11997271,11.40853024,10.831415179999999
GRD,Grenada,308.0,74.7622,74.7652,74.8076,74.8632,74.9238,74.8244,8.675659824,8.675659824,8.8,9.032104,9.032104,8.8431055296
GTM,Guatemala,320.0,72.3547,72.5506,72.7257,73.1289,71.7969,72.51136,5.774713993,5.74357605,5.712438107,5.681300163,5.681300163,5.7186656952
GUY,Guyana,328.0,68.384,68.6668,68.8959,69.1239,68.4858,68.71127999999999,8.410319909,8.462109182,8.513898455,8.565687727,8.617477,8.5138984546
HKG,"China, Hong Kong SAR",344.0,84.539,84.8988,85.2456,85.2735,85.1968,85.03074,12.09660006,12.16905022,12.19762993,12.22620964,12.22620964,12.183139898
HND,Honduras,340.0,72.5878,72.6918,72.8141,72.8811,71.4619,72.48734,6.528709888,6.408294916,6.287879944,7.088479996,7.088479996,6.680368948
HRV,Croatia,191.0,78.2314,78.0832,78.337,78.7376,77.9845,78.27474,11.78733331,11.92040895,12.05498697,12.19108434,12.19108434,12.028979582
HTI,Haiti,332.0,63.3922,63.8538,64.0188,64.2546,64.0518,63.91424000000001,5.326,5.402,5.478,5.554,5.554,5.4628
HUN,Hungary,348.0,76.1552,76.0055,76.2039,76.4543,75.7297,76.10972,11.88941002,11.97945499,12.06949997,12.15954494,12.24958992,12.069499968
IDN,Indonesia,360.0,69.7976,69.9356,70.3375,70.5184,68.8077,69.87936,7.976150036,8.069094896,8.162039757,8.359274864,8.556509972,8.224613905
IND,India,356.0,70.1167,70.4672,70.7095,70.9098,70.1499,70.47062000000001,6.350639359,6.452129304,6.55361925,6.655109195,6.655109195,6.5333212606
IRL,Ireland,372.0,81.5498,81.9168,82.0863,82.2586,82.4699,82.05628,11.36181815,11.4341898,11.50796839,11.58222303,11.58222303,11.49368448
IRN,Iran (Islamic Republic of),364.0,75.6,75.9712,76.195,76.1031,74.832,75.74025999999999,10.31394005,10.42034294,10.52784353,10.63645314,10.63645314,10.507006559999999
IRQ,Iraq,368.0,68.9878,70.4126,71.5143,71.5764,69.1228,70.32278,7.837934567,7.860422708,7.88291085,7.905593489,7.905593489,7.8784910206
ISL,Iceland,352.0,82.03,82.5352,82.7703,82.4042,82.5755,82.46304,13.32010517,13.4558567,13.59160824,13.72735977,13.76716995,13.572419966000002
