ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
SGP,Singapore,702.0,83.0001,83.2236,83.4576,83.7584,82.861,83.26014,11.58815956,11.5461998,11.74279022,11.85017014,11.92488003,11.73043995
SLB,Solomon Islands,90.0,69.8007,69.9882,70.1733,70.3821,70.1987,70.1086,5.44073206,5.54073206,5.54073206,5.711848,5.711848,5.589178436
SLE,Sierra Leone,694.0,58.4045,58.6517,59.7959,60.2549,59.7632,59.37404,4.21481171,4.335234901,4.455658093,4.576081285,4.576081285,4.4315734548000005
SLV,El Salvador,222.0,72.0248,72.3108,72.5546,72.5586,71.0609,72.10194,6.717559814,6.825099945,6.968569994,7.112040043,7.150929928,6.9548399448
SMR,San Marino,674.0,82.9726,82.9161,82.9479,82.9863,79.5886,82.28229999999999,,,10.80146027,10.80146027,10.80146027,10.80146027
SOM,Somalia,706.0,55.0444,55.6536,56.3754,57.0776,55.9666,56.02352,,,,,,
SRB,Serbia,688.0,76.2609,76.213,76.5115,76.704,75.4057,76.21902,11.13010025,11.16240025,11.26613522,11.36987019,11.36987019,11.25967522
SSD,South Sudan,728.0,55.5437,55.3094,55.9495,55.912,55.4801,55.638940000000005,5.726140022,5.726140022,5.726140022,5.726140022,5.726140022,5.726140022
STP,Sao Tome and Principe,678.0,67.4917,68.2666,68.3549,68.5231,67.7848,68.08422,5.77061182,5.918941025,6.06727023,6.215599435,6.215599435,6.037604389
SUR,Suriname,740.0,71.5924,72.417,72.5532,72.2423,72.5615,72.27328,9.472836021,9.573077564,9.673319107,9.77680063,9.77680063,9.6545667904
SVK,Slovakia,703.0,77.2146,77.219,77.264,77.6851,77.0054,77.27762,12.71166039,12.76618004,12.86622047,12.91141987,12.91141987,12.833380128000002
SVN,Slovenia,705.0,81.1577,81.0714,81.3581,81.6042,80.4409,81.12646,12.66755009,12.70028973,12.75198507,12.80368042,12.80368042,12.745437146
SWE,Sweden,752.0,82.3391,82.4382,82.5326,83.0524,82.4274,82.55794,12.41359997,12.48604965,12.54788494,12.60972023,12.60972023,12.533395003999999
SWZ,Eswatini,748.0,56.6591,57.8951,59.4114,60.5492,59.6922,58.8414,5.194,5.328,5.462,5.596,5.596,5.4352
SYC,Seychelles,690.0,73.6425,73.8027,73.9529,74.169,73.5324,73.81989999999999,10.29844821,10.29333881,10.2882294,10.28312,10.28312,10.289251283999999
SYR,Syrian Arab Republic,760.0,65.9933,68.4811,70.145,71.8224,72.1399,69.71634,5.0625,5.1,5.1,5.1,5.1,5.092499999999999
TCD,Chad,148.0,52.0834,52.3076,52.8253,53.2594,52.7774,52.65062,2.301458538,2.388868544,2.479598405,2.57377421,2.57377421,2.4634947814
TGO,Togo,768.0,59.5501,60.1544,60.244,60.9011,61.035,60.37692,4.636985989,4.763593115,4.890200241,5.016807367,5.016807367,4.8648788158
THA,Thailand,764.0,78.0489,78.3939,78.6622,78.9751,79.2739,78.67080000000001,8.315620422,8.343885422,8.372150421,8.697119713,8.697119713,8.4851791382
TJK,Tajikistan,762.0,69.5493,69.9047,70.3532,70.8674,67.9942,69.73376,11.38479379,11.42107964,11.37723672,11.3333938,11.3333938,11.36997955
TKM,Turkmenistan,795.0,68.7774,68.9158,68.7963,69.0016,68.687,68.83561999999999,11.15854538,11.19282692,11.22710846,11.26139,11.26139,11.220252152
TLS,Timor-Leste,626.0,67.4461,67.7454,68.0167,68.2684,68.4755,67.99042,5.43679,5.43679,5.43679,5.43679,5.43679,5.43679
TON,Tonga,776.0,70.661,70.7133,70.7787,70.8715,70.9276,70.79042,11.30161499,11.33194133,11.36226767,11.392594,11.392594,11.356202398
TTO,Trinidad and Tobago,780.0,74.281,74.2301,73.8018,74.2279,74.4056,74.18928,11.23672288,11.35999926,11.48462809,11.61062419,11.61062419,11.460519721999997
TUN,Tunisia,788.0,75.7861,75.8448,75.9501,75.9933,75.2923,75.77332,7.196720123,7.274176324,7.352466164,7.431598614,7.431598614,7.337311967800001
TUR,Türkiye,792.0,76.6605,77.1408,77.5631,77.8318,75.85,77.00924,8.099840164,8.268190384,8.450664997,8.63313961,8.63313961,8.416994953
TUV,Tuvalu,798.0,64.1075,64.1478,64.2117,64.2775,64.382,64.2253,10.11381837,10.2286407,10.34346304,10.45828538,10.57310772,10.343463042
TZA,United Republic of Tanzania,834.0,65.3862,65.9987,66.5346,66.9885,66.4077,66.26313999999999,5.959358347,6.094134093,6.231957903,6.37289871,6.37289871,6.206249552600001
UGA,Uganda,800.0,61.6479,62.115,62.7139,62.9913,62.8513,62.463879999999996,5.563811567,5.619521567,5.675231566,5.730941566,5.730941566,5.6640895663999995
UKR,Ukraine,804.0,74.3121,74.7181,74.4122,74.5364,72.5726,74.11028000000002,11.15577802,11.14765882,11.13953963,11.13142043,11.13142043,11.141163465999998
URY,Uruguay,858.0,77.5707,77.6247,77.611,77.5085,78.4298,77.74893999999999,8.70388031,8.831359863,8.906729698,8.982549667,8.982549667,8.881413841
USA,United States of America,840.0,78.8482,78.8213,78.9896,79.138,77.4144,78.6423,13.34290981,13.42226505,13.50162029,13.59252501,13.68342972,13.508549976000001
UZB,Uzbekistan,860.0,70.7548,71.0095,71.1494,71.3441,70.3309,70.91774,11.67308998,11.72383976,11.77458954,11.89558983,11.89558983,11.792539788
VCT,Saint Vincent and the Grenadines,670.0,74.2799,74.3052,74.1279,72.8347,72.1256,73.53466,10.34760787,10.83343029,10.83343029,10.83343029,10.83343029,10.736265806000002
VEN,Venezuela (Bolivarian Republic of),862.0,72.0578,71.943,71.9788,72.1614,71.0949,71.84718000000001,10.31229973,10.57076027,10.8356987,11.10727736,11.10727736,10.786662684
VNM,Viet Nam,704.0,73.9382,73.9632,73.9757,74.0929,75.3779,74.26957999999999,8.12267518,8.205210209,8.287745237,8.370280266,8.370280266,8.2712382316
VUT,Vanuatu,548.0,69.6496,69.7095,69.7948,69.8769,70.2995,69.86605999999999,6.68,6.76,6.84,7.064846,7.064846,6.8819384
WSM,Samoa,882.0,72.5397,72.59,72.6358,72.1572,72.7677,72.53808000000001,11.52649762,11.49582322,11.46514881,11.43447441,11.4038,11.465148812
YEM,Yemen,887.0,66.0641,65.9573,64.5751,65.0917,64.6501,65.26766,3.0,3.0,3.2,3.2,3.2,3.1199999999999997
ZAF,South Africa,710.0,64.7469,65.402,65.6743,66.175,65.2522,65.45008,10.18788004,10.14218044,10.7576704,11.37316036,11.37316036,10.766810320000001
ZMB,Zambia,894.0,61.7937,62.1201,62.3422,62.7926,62.3803,62.28578,6.802171326,6.930478048,7.058784771,7.187091494,7.187091494,7.0331234266
ZWE,Zimbabwe,716.0,60.3059,60.7095,61.4141,61.2925,61.1242,60.96923999999999,8.34528319,8.461689949,8.585394977,8.710908501,8.710908501,8.5628370236
