Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Congo, Rep.",COG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4874543671.1,5513707790.3,5220894528,5379079715.6,5253134974.2
Costa Rica,CRI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,25562670955.2,25615909360.8,28369279758.1,29800758229,31287627814.7
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11457186653.5,13449134231.4,16184569403.8,19816398560.3,25072693104
Croatia,HRV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Cuba,CUB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Curacao,CUW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Cyprus,CYP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Czechia,CZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Denmark,DNK,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Djibouti,DJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1702240895.4,2266964232.8,2321379194.7,2552579803.4,2678724034.8
Dominica,DMA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,300168362.9,299719824.9,283303809,282940980,328975990.2
Dominican Republic,DOM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,28291425524.5,31155812951.6,33564082651.9,38396262855.1,44467742286.3
Ecuador,ECU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,35378111194.4,41158716635.5,44943859423.5,51883469835.5,56190547675.7
"Egypt, Arab Rep.",EGY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,69163941956.8,84722482199.7,100186063063.6,115079584155.5,131579729752.3
El Salvador,SLV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,16566778003.6,17179362768.2,16724734483.9,17379449891.6,18333708634.2
Equatorial Guinea,GNQ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Eritrea,ERI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,797254598.7,820766657.9,791199901.6,771710773.6,788537429.3
Estonia,EST,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Eswatini,SWZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,499435854.2,653829149.2,511324121.1,630306421.4,766084561.1
