Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
IG,Government Expenditure,112,Belarus,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,26216.53468,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,56,Belgium,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,252702.1515,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,56,Belgium,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,261558.0726,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,56,Belgium,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,283612.4567,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,56,Belgium,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,277492.539,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,70,Bosnia and Herzegovina,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,7011.061913,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,70,Bosnia and Herzegovina,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,7239.606305,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,72,Botswana,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,4991.320855,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,72,Botswana,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,5438.539773,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,72,Botswana,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,5724.812071,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,72,Botswana,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,5796.893167,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,72,Botswana,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,5708.690676,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,76,Brazil,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,872233.2217,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,76,Brazil,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,993512.6019,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,76,Brazil,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,908668.4744,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,76,Brazil,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,878170.7741,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,76,Brazil,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,720955.3206,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,100,Bulgaria,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,18026.009,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,100,Bulgaria,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,19673.09866,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,100,Bulgaria,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,23607.34662,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,100,Bulgaria,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,25675.51241,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,100,Bulgaria,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,27920.27171,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,132,Cabo Verde,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,593.148673,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,124,Canada,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,563122.0632,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,124,Canada,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,603654.3736,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,124,Canada,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,636151.942,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,124,Canada,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,652212.2825,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,152,Chile,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,63313.60837,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,152,Chile,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,70461.03721,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,152,Chile,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,75708.65559,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,152,Chile,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,73761.4677,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,152,Chile,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,73894.36289,A,Official figure,Consolidated General Government Expenditure
