Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","110.133214","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.711655","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","112.497627","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.490296","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.054183","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","113.597099","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","115.785785","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","117.371378","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","119.044418","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","116.870769","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","114.926413","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","115.357437","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","114.68503","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","114.891168","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","116.204666","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","119.067918","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","120.880724","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","120.900114","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","121.659358","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","136.811308","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","134.430757","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","131.92342","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","129.529495","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","127.927101","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","125.471362","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","126.094055","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","127.677141","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","128.002089","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.1341","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","98.654126","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.024137","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","100.014175","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.474099","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","97.844041","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.894113","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","98.784076","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","98.294072","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","98.744103","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","99.744171","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","99.614148","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","98.404109","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","100.504179","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.724111","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.874121","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.104083","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.574106","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.734072","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","99.714155","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","99.254093","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","99.334114","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","99.914168","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","100.5842","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.864165","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","101.374224","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","100.94418","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","100.714149","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","100.8042","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.644159","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.79417","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","100.88422","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","102.334246","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","102.224283","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.444214","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.354238","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.804195","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.724312","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","102.924257","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.524298","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","102.89424","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.154288","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","102.434253","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","103.104284","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","102.224283","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","102.064242","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","102.774247","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.514337","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","104.924395","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","105.364395","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","103.414261","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.504312","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","103.074267","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.734342","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","102.924257","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.284243","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.524298","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.244264","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.704326","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","248","Åland Islands","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.324285","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","102.494567","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","105.868394","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","107.031783","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.868394","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","102.378228","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.400466","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.400466","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.843583","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.076261","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","008","Albania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","102.378228","A","Official figure","base year is 2015"
